Date of Travel,City,Company,KM Travelled,Price Charged,Cost of Trip,Population,Users,Number of Males,Payments by Cash,Number of Females,Payments by Card,Average Income
2016-01-02,ATLANTA GA,Pink Cab,9.04,125.2,97.632,814885,24701,1,1,0,0,11242.0
2016-01-02,ATLANTA GA,Yellow Cab,121.95,4458.030000000001,1691.5043999999998,814885,24701,4,1,0,3,5710.75
2016-01-02,BOSTON MA,Pink Cab,62.64,970.27,680.504,248968,80021,2,0,0,2,24142.0
2016-01-02,BOSTON MA,Yellow Cab,216.41,4595.2,2889.8304,248968,80021,8,3,0,5,15323.0
2016-01-02,CHICAGO IL,Pink Cab,142.61,2236.7,1595.664,1955130,164468,7,3,0,4,15656.42857142857
2016-01-02,CHICAGO IL,Yellow Cab,591.18,13473.25,7657.8696,1955130,164468,28,15,0,13,15299.714285714286
2016-01-02,DALLAS TX,Pink Cab,46.45,431.0,536.194,942908,22157,2,1,0,1,17587.5
2016-01-02,DALLAS TX,Yellow Cab,123.91,3861.12,1606.74,942908,22157,5,2,0,3,8260.4
2016-01-02,DENVER CO,Pink Cab,7.02,61.3,82.836,754233,12421,1,1,0,0,20255.0
2016-01-02,DENVER CO,Yellow Cab,22.54,750.26,302.9376,754233,12421,1,0,0,1,15798.0
2016-01-02,LOS ANGELES CA,Pink Cab,205.49,4483.75,2318.079,1595037,144132,7,2,0,5,17331.85714285714
2016-01-02,LOS ANGELES CA,Yellow Cab,417.94,10891.32,5409.8664,1595037,144132,20,12,0,8,14042.75
2016-01-02,MIAMI FL,Pink Cab,6.42,105.42,64.842,1339155,17675,1,0,0,1,22812.0
2016-01-02,NASHVILLE TN,Yellow Cab,29.25,1001.93,361.53,327225,9270,1,0,0,1,6216.0
2016-01-02,NEW YORK NY,Pink Cab,34.74,535.78,370.668,8405837,302149,2,1,0,1,15629.5
2016-01-02,NEW YORK NY,Yellow Cab,779.23,23918.6,10318.11,8405837,302149,33,12,0,21,13460.151515151516
2016-01-02,PHOENIX AZ,Pink Cab,12.990000000000002,185.72,138.615,943999,6133,2,1,0,1,6593.0
2016-01-02,PHOENIX AZ,Yellow Cab,30.0,1000.52,403.2,943999,6133,1,0,0,1,18030.0
2016-01-02,SACRAMENTO CA,Yellow Cab,38.0,1065.42,547.2,545776,7044,1,0,0,1,16088.0
2016-01-02,SAN DIEGO CA,Pink Cab,146.18,2874.1499999999996,1637.904,959307,69995,6,5,0,1,13128.833333333334
2016-01-02,SAN DIEGO CA,Yellow Cab,146.01999999999998,3929.13,1971.3384,959307,69995,6,2,0,4,13237.666666666666
2016-01-02,SEATTLE WA,Pink Cab,65.16,805.8,743.821,671238,25063,5,1,0,4,17201.8
2016-01-02,SEATTLE WA,Yellow Cab,141.9,4139.39,1921.5144,671238,25063,5,2,0,3,13802.0
2016-01-02,SILICON VALLEY,Pink Cab,9.0,167.18,90.0,1177609,27247,1,1,0,0,5484.0
2016-01-02,SILICON VALLEY,Yellow Cab,119.69999999999999,4038.4,1509.9096,1177609,27247,4,1,0,3,17532.0
2016-01-02,TUCSON AZ,Pink Cab,5.4,94.49,58.32,631442,5712,1,0,0,1,7931.0
2016-01-02,TUCSON AZ,Yellow Cab,28.5,965.16,365.94,631442,5712,1,0,0,1,3300.0
2016-01-02,WASHINGTON DC,Pink Cab,61.35,781.82,634.0799999999999,418859,127001,3,1,0,2,17426.0
2016-01-02,WASHINGTON DC,Yellow Cab,472.94,10369.66,6204.258,418859,127001,22,10,0,12,13117.90909090909
2016-01-03,ATLANTA GA,Pink Cab,8.73,114.62,97.776,814885,24701,1,0,0,1,8536.0
2016-01-03,ATLANTA GA,Yellow Cab,67.83,2459.56,873.846,814885,24701,5,3,0,2,15339.8
